ukeycode#&#jycode#&#inputcode#&#chabbr#&#windcode#&#tradingtime#&#presettlement
1114169#&#106#&#BFGJ#&#北方国际#&#000065.SZ#&#[0930,1130],[1300,1500]#&#201400
1114170#&#107#&#ZGCC#&#中国长城#&#000066.SZ#&#[0930,1130],[1300,1500]#&#72500
1114171#&#108#&#HKSG#&#华控赛格#&#000068.SZ#&#[0930,1130],[1300,1500]#&#59500
1114172#&#109#&#HQCA#&#华侨城Ａ#&#000069.SZ#&#[0930,1130],[1300,1500]#&#86900
1114173#&#111#&#TFXX#&#特发信息#&#000070.SZ#&#[0930,1130],[1300,1500]#&#105300
1114174#&#112#&#HWSW#&#海王生物#&#000078.SZ#&#[0930,1130],[1300,1500]#&#60600
1114175#&#113#&#YTG#&#盐 田 港#&#000088.SZ#&#[0930,1130],[1300,1500]#&#84000
1114176#&#114#&#SZJC#&#深圳机场#&#000089.SZ#&#[0930,1130],[1300,1500]#&#86900
1114177#&#115#&#TJJT#&#天健集团#&#000090.SZ#&#[0930,1130],[1300,1500]#&#100200
1114178#&#116#&#GJNY#&#广聚能源#&#000096.SZ#&#[0930,1130],[1300,1500]#&#134900
1114179#&#117#&#ZXHZ#&#中信海直#&#000099.SZ#&#[0930,1130],[1300,1500]#&#98500
1114180#&#118#&#TCLJT#&#TCL 集团#&#000100.SZ#&#[0930,1130],[1300,1500]#&#46800
1114181#&#119#&#YHJK#&#宜华健康#&#000150.SZ#&#[0930,1130],[1300,1500]#&#295000
1114182#&#120#&#ZCGF#&#中成股份#&#000151.SZ#&#[0930,1130],[1300,1500]#&#141300
1114183#&#121#&#FYYY#&#丰原药业#&#000153.SZ#&#[0930,1130],[1300,1500]#&#83000
1114184#&#122#&#STCH#&#*ST 川化#&#000155.SZ#&#[0930,1130],[1300,1500]#&#102700
1114185#&#123#&#HSCM#&#华数传媒#&#000156.SZ#&#[0930,1130],[1300,1500]#&#131100
1114186#&#124#&#ZLZK#&#中联重科#&#000157.SZ#&#[0930,1130],[1300,1500]#&#44500
1114187#&#125#&#CSBM#&#常山北明#&#000158.SZ#&#[0930,1130],[1300,1500]#&#91600
1114188#&#126#&#GJSY#&#国际实业#&#000159.SZ#&#[0930,1130],[1300,1500]#&#56300
1114189#&#141#&#DFSC#&#东方市场#&#000301.SZ#&#[0930,1130],[1300,1500]#&#58500
1114190#&#147#&#XJDQ#&#许继电气#&#000400.SZ#&#[0930,1130],[1300,1500]#&#147000
1114191#&#148#&#JDSN#&#冀东水泥#&#000401.SZ#&#[0930,1130],[1300,1500]#&#139600
1114192#&#149#&#JRJ#&#金 融 街#&#000402.SZ#&#[0930,1130],[1300,1500]#&#111400
1114193#&#150#&#STSH#&#ST 生 化#&#000403.SZ#&#[0930,1130],[1300,1500]#&#336000
1114194#&#151#&#HYYS#&#华意压缩#&#000404.SZ#&#[0930,1130],[1300,1500]#&#63400
1114197#&#154#&#SLGF#&#胜利股份#&#000407.SZ#&#[0930,1130],[1300,1500]#&#77500
1114198#&#155#&#ZGKG#&#藏格控股#&#000408.SZ#&#[0930,1130],[1300,1500]#&#176900
1114199#&#156#&#SDDK#&#山东地矿#&#000409.SZ#&#[0930,1130],[1300,1500]#&#67000
1114200#&#157#&#STSJ#&#*ST 沈机#&#000410.SZ#&#[0930,1130],[1300,1500]#&#85600
