ukcode,jycode,inputcode,chabbr,windcode
2230582,34111,YSCTLY,122295,13川投01,122295.SH
2230589,34298,PRHST,124702,PR衡水投,124702.SH
2230591,34138,YSYNF,124651,14杨农发,124651.SH
2230592,34144,PRYJT,124652,PR益交投,124652.SH
2230593,35230,YSJTZ,124662,14京投债,124662.SH
2230595,33131,PRYGJ,124577,PR甬广聚,124577.SH
2230597,34095,PRHCLE,124650,PR海财02,124650.SH
2230598,34258,PRWCJ,124677,PR乌城建,124677.SH
2230601,33046,PRSTZ,124575,PR汕投资,124575.SH
2230602,34029,PRRQLE,124637,PR融强02,124637.SH
2230603,34393,YSDGL,124668,14滇公路,124668.SH
2230606,34480,YSTFZ,122302,13天房债,122302.SH
2230608,33795,PRSTLY,124623,PR穗铁01,124623.SH
2230609,33975,PRSGZ,124644,PR沈国资,124644.SH
2230610,34245,PRZXY,124671,PR湛新域,124671.SH
2230611,34226,PRBCF,124371,PR北辰发,124371.SH
2230613,35430,PRQLH,124622,PR钦临海,124622.SH
2230614,34446,PRHTZ,124699,PR汇通债,124699.SH
2230615,35368,YSHGW,124755,14合工微,124755.SH
2230616,32146,PRYNZ,124493,PR伊宁债,124493.SH
2230619,33943,PRCKF,124631,PR漕开发,124631.SH
2230620,34092,PRNJK,124646,PR宁经开,124646.SH
2230621,35041,PRAFT,124738,PR安发投,124738.SH
2230623,34345,YSZYZ,122299,13中原债,122299.SH
2230624,34233,PRNKK,124678,PR宁开控,124678.SH
2230626,35362,YSGZYL,019410,14国债10,019410.SH
2230627,33898,PRSJG,124629,PR苏金灌,124629.SH
2230628,34033,PRYSSY,124639,PR14沭阳,124639.SH
2230629,34451,PRMCT,124697,PR马城投,124697.SH
2230630,34514,PRWWLE,124704,PR武威02,124704.SH
2230631,34448,PRXZZ,124710,PR兴展债,124710.SH
2230632,34387,PRQTT,124713,PR黔铁投,124713.SH
2230633,34442,YSDTLY,124720,14电投01,124720.SH
2230634,35102,PRYCT,124743,PR银城投,124743.SH
2230637,35608,PRQCT,124688,PR潜城投,124688.SH
2230640,34094,PRWJK,124663,PR威经开,124663.SH
2230641,34496,PRQHC,124721,PR青海创,124721.SH
2230643,33614,PRKGX,124615,PR昆高新,124615.SH
2230644,34670,PRCJLY,124730,PR长交01,124730.SH
2230645,35186,PRWAZ,124745,PR武安债,124745.SH
2230647,34140,PRLALE,124444,PR六安02,124444.SH
2230648,33443,PRGSLY,124600,PR贵水01,124600.SH
2230649,33654,YSEJLY,124616,14鄂交01,124616.SH
2230650,33656,YSEJLE,124617,14鄂交02,124617.SH
2230651,34308,PRLZZ,124685,PR临淄债,124685.SH
2230652,34200,PRYCT,124689,PR雨城投,124689.SH
2230653,34986,PRGSLE,124742,PR贵水02,124742.SH
2230656,33690,PRYSYQ,124620,PR14渝黔,124620.SH
2230657,35839,PRTCG,124747,PR太仓港,124747.SH
2230658,35160,PRYCT,124750,PR宜春投,124750.SH
2230661,33099,YSYKF,124567,14扬开发,124567.SH
2230662,34444,PRRLB,124703,PR蓉隆博,124703.SH
2230663,34519,PRXSZ,124711,PR象山债,124711.SH
2230666,34195,PRCCZ,124675,PR崇川债,124675.SH
2230667,34303,PRBBH,124722,PR包滨河,124722.SH
2230668,34570,PRFSJ,124724,PR富山居,124724.SH
2230669,35301,PRYCT,124760,PR余城投,124760.SH
2230670,34102,PRNHLE,124655,PR宁海02,124655.SH
2230671,34260,PRXKF,124672,PR徐开发,124672.SH
2230672,34517,PRSPZ,124715,PR四平债,124715.SH
2230673,35251,PRRCT,124749,PR仁城投,124749.SH
2230675,32913,PRTCZ,124601,PR唐城债,124601.SH
2230676,34197,PRQKLE,124664,PR秦开02,124664.SH
2230677,35920,PRYCT,124754,PR荥城投,124754.SH
2230678,35731,PRWGLE,124773,PR温高02,124773.SH
2230680,35693,YSGNK,124614,14桂农垦,124614.SH
2230681,33141,PRYHLE,124626,PR渝豪02,124626.SH
2230682,34100,PRLYZ,124645,PR临沂债,124645.SH
2230683,34136,PRZJT,124657,PR张经投,124657.SH
2230684,34306,PRXGX,124681,PR徐高新,124681.SH
2230685,34235,PRXCJ,124684,PR新城基,124684.SH
2230686,34389,YSZDJ,124690,14中电建,124690.SH
2230687,34188,PRHCLE,124691,PR宏财02,124691.SH
2230693,34299,PRKTZ,124694,PR克投债,124694.SH
2230694,34583,PRCJT,124731,PR朝建投,124731.SH
2230695,35223,PRJAZ,124758,PR吉安债,124758.SH
2230696,35687,PRQHY,124785,PR青宏源,124785.SH
2230698,36026,YSDZLE,130119,14地债02,130119.SH
2230699,34367,PRTLX,124566,PR潭两型,124566.SH
2230700,34236,PRTZX,124674,PR泰中兴,124674.SH
2230701,35253,YSHKLY,124753,14海控01,124753.SH
2230703,35739,PRJNZ,124804,PR津南债,124804.SH
2230707,35538,YSCTLY,122301,13楚天01,122301.SH
2230708,34582,PRNGZ,124716,PR宁国债,124716.SH
2230709,35502,PRJHT,124766,PR景洪投,124766.SH
2230710,35632,PRYKF,124779,PR银开发,124779.SH
2230711,35680,PRRJZ,124787,PR荣经债,124787.SH
2230712,36128,YSGZYE,019412,14国债12,019412.SH
2230713,34309,PRGYK,124695,PR广元控,124695.SH
2230714,34374,PRLKZ,124701,PR临开债,124701.SH
2230715,34665,PRYJG,124737,PR虞交公,124737.SH
2230716,35141,PRXJK,124744,PR萧经开,124744.SH
2230717,35417,PRHXLY,124793,PR合新01,124793.SH
2230718,35419,PRHXLE,124794,PR合新02,124794.SH
2230725,34581,PRDGX,124726,PR德高新,124726.SH
2230726,34731,PRLLT,124736,PR柳龙投,124736.SH
2230727,35365,PRLXC,124741,PR辽鑫诚,124741.SH
2230728,35222,PRWJT,124752,PR文金滩,124752.SH
2230729,35225,PRECLY,124757,PR鄂城01,124757.SH
2230730,34726,PRSZLE,124734,PR随州02,124734.SH
2230731,35252,PRHCT,124746,PR贺城投,124746.SH
2230732,35227,PRXGT,124751,PR徐高铁,124751.SH
2230733,35425,YSSYT,124761,14深业团,124761.SH
2230734,35560,PRTLZ,124774,PR通辽债,124774.SH
2230737,36230,YSDZLS,130123,14地债03,130123.SH
2230738,33139,PRSCZ,124572,PR遂川中,124572.SH
2230739,34386,PRJGL,124692,PR嘉公路,124692.SH
2230740,34384,PRDTLE,124696,PR东台02,124696.SH
2230741,34506,PRBGZ,124706,PR巴国资,124706.SH
2230742,35606,PRHTZ,124792,PR桓台债,124792.SH
2230743,35725,PRYHT,124795,PR渝惠通,124795.SH
2230744,36499,PRJCZ,124800,PR金城债,124800.SH
2230745,35723,PRJNT,124803,PR津宁投,124803.SH
2230747,36291,YSGDLY,130120,14广东01,130120.SH
2230748,36294,YSGDLE,130121,14广东02,130121.SH
2230749,36297,YSGDLS,130122,14广东03,130122.SH
2230750,19640,PRLAZ,122580,PR临安债,122580.SH
2230752,35357,PRKCJ,124630,PR库城建,124630.SH
2230753,34036,PRYSGC,124658,PR14桂城,124658.SH
2230754,34524,PRYGK,124732,PR渝高开,124732.SH
2230755,34664,PRXSS,124739,PR西塞山,124739.SH
2230756,34192,PRGST,124661,PR赣四通,124661.SH
2230757,34455,PRNJT,124700,PR内江投,124700.SH
2230758,34520,PRWFZ,124718,PR乌房债,124718.SH
2230759,34585,PRQKT,124725,PR曲开投,124725.SH
2230760,35635,PRCDT,124778,PR蔡甸投,124778.SH
2230761,34228,PRNHZ,124687,PR南化债,124687.SH
2230762,34457,PRFHZ,124698,PR奉化债,124698.SH
2230763,35128,PRTSF,124748,PR铜示范,124748.SH
2230764,35300,PRWXQ,124759,PR威新区,124759.SH
2230765,35733,PRTFN,124808,PR唐丰南,124808.SH
2230769,35470,PRDYZ,124772,PR当阳债,124772.SH
2230770,35689,PRSHJ,124786,PR苏海集,124786.SH
2230773,36400,YSDZLW,130125,14地债05,130125.SH
2230774,36255,YSYSZ,122298,13亚盛债,122298.SH
2230775,34035,PRJNK,124641,PR江宁开,124641.SH
2230776,33997,PRJJT,124642,PR鸠建投,124642.SH
2230777,34230,PRLSZ,124666,PR莱山债,124666.SH
2230778,35467,PRPCS,124762,PR萍昌盛,124762.SH
2230779,35048,PRYCT,124768,PR云城投,124768.SH
2230780,35602,PRHLLY,124769,PR合力01,124769.SH
2230781,35604,PRHLLE,124770,PR合力02,124770.SH
2230782,35633,PRZGZ,124782,PR遵国资,124782.SH
2230783,35737,PRJXR,124799,PR京鑫融,124799.SH
2230784,35782,PRJKZ,124813,PR井开债,124813.SH
2230785,35926,YSTJLY,122306,13太极01,122306.SH
2230786,35741,YSSES,124797,14十二师,124797.SH
2230787,36546,YSGZYS,019413,14国债13,019413.SH
2230788,34508,PRKFT,124733,PR开发投,124733.SH
2230790,33615,PRZWJ,124619,PR中卫建,124619.SH
2230791,35676,PRSPJ,124783,PR绍袍江,124783.SH
2230792,35636,PRTDZ,124790,PR陶都债,124790.SH
2230793,35691,PRXGT,124796,PR襄高投,124796.SH
2230794,33730,PRLYH,124849,PR辽沿海,124849.SH
2230797,34656,YSHZLY,124597,14海资01,124597.SH
2230798,34447,PRBJK,124712,PR并经开,124712.SH
2230799,34368,PRJXY,124717,PR姜鑫源,124717.SH
2230800,34672,PRLXK,124729,PR兰新控,124729.SH
2230801,34666,PRHJT,124735,PR合建投,124735.SH
2230802,35778,PRECT,124801,PR恩城投,124801.SH
2230803,35637,PRBSZ,124802,PR保山债,124802.SH
2230804,35995,PRCJLE,124812,PR长交02,124812.SH
2230807,34108,PRCZZ,124648,PR郴州债,124648.SH
2230808,34097,PRQJT,124654,PR庆经投,124654.SH
2230809,34528,YSLGJ,124714,14鲁国集,124714.SH
2230810,35423,PRCJH,124764,PR蔡家湖,124764.SH
2230812,33861,PRQDLY,124628,PR启东01,124628.SH
2230813,34579,PRQDLE,124723,PR启东02,124723.SH
2230814,35600,PRXYD,124775,PR新余东,124775.SH
2230815,35496,PRLDZ,124776,PR绿地债,124776.SH
2230816,36211,PRSMZ,124842,PR神木债,124842.SH
2230822,35509,PRZEQ,124767,PR郑二七,124767.SH
2230824,36853,YSSDLY,130126,14山东01,130126.SH
2230825,36856,YSSDLE,130127,14山东02,130127.SH
2230826,36859,YSSDLS,130128,14山东03,130128.SH
2230828,36905,YSDZLQ,130130,14地债07,130130.SH
2230830,35980,PRCJQ,124823,PR池金桥,124823.SH
2230831,36164,PRPGZ,124827,PR普国资,124827.SH
2230832,35503,PRBJT,124771,PR亳建投,124771.SH
2230835,34196,PRYJT,124665,PR余交通,124665.SH
2230836,37039,YSDZLB,130131,14地债08,130131.SH
2230837,34453,PRYBS,124727,PR渝保税,124727.SH
2230838,35724,PRJGF,124807,PR金国发,124807.SH
2230839,36021,PRDTLE,124811,PR滇投02,124811.SH
2230840,35631,PRMJT,124777,PR茂交投,124777.SH
2230841,35738,PRHDT,124789,PR海东投,124789.SH
2230842,35952,PRYSX,124810,PR一师鑫,124810.SH
2230843,36080,PRSDT,124816,PR顺德投,124816.SH
2230846,37143,YSGZYL,019416,14国债16,019416.SH
2230847,34067,PRLDZ,124647,PR娄底债,124647.SH
2230848,34249,PRPLLE,124680,PR普兰02,124680.SH
2230849,35734,PRSTLE,124805,PR穗铁02,124805.SH
2230850,36282,YSTRLE,124815,14天瑞02,124815.SH
2230851,35954,PRCJS,124831,PR崇建设,124831.SH
2230852,36215,PRHHZ,124843,PR宏河债,124843.SH
2230853,36515,PRCFZ,124856,PR常房债,124856.SH
2230857,34193,PRYJK,124679,PR宜经开,124679.SH
2230858,36209,PRXGLY,124829,PR孝高01,124829.SH
2230860,37190,YSJSLY,130132,14江苏01,130132.SH
2230861,37193,YSJSLE,130133,14江苏02,130133.SH
2230862,37196,YSJSLS,130134,14江苏03,130134.SH
2230865,36935,YSHCZ,122308,13杭齿债,122308.SH
2230866,35471,PRLLT,124765,PR醴陵投,124765.SH
2230867,36121,PRJGZ,124820,PR济高债,124820.SH
2230868,37338,PRWDT,124851,PR梧东泰,124851.SH
2230869,36612,PRKSS,124854,PR喀什深,124854.SH
2230872,34239,PRZKLE,124683,PR周口02,124683.SH
2230873,34302,PRCPZ,124686,PR昌平债,124686.SH
2230874,36267,YSBGZ,124817,14北国资,124817.SH
2230875,36118,PRYLK,124819,PR渝旅开,124819.SH
2230876,36167,PRBST,124821,PR百色投,124821.SH
2230877,36388,PRBXT,124839,PR滨新塘,124839.SH
2230878,36622,PRHCT,124850,PR合川投,124850.SH
2230879,36386,PRJBH,124852,PR冀渤海,124852.SH
2230881,36705,YSJRT,124868,14冀融投,124868.SH
2230885,34445,PRAJZ,124709,PR安吉债,124709.SH
2230886,35684,PRXCT,124791,PR孝城投,124791.SH
2230887,37337,PRTJT,124860,PR汤建投,124860.SH
2230888,36774,PRNEJ,124866,PR南二建,124866.SH
2230894,34253,PRQGZ,124676,PR衢国资,124676.SH
2230899,34148,PRPJK,124659,PR平经开,124659.SH
2230900,34522,PRYJLY,124707,PR渝江01,124707.SH
2230901,35469,PRKJF,124763,PR昆交发,124763.SH
2230902,37393,PRLGX,124857,PR临桂新,124857.SH
2230903,36749,PRKTR,124865,PR奎屯润,124865.SH
2230907,34153,PRTLT,124660,PR桐庐投,124660.SH
2230908,36122,YSJQP,124824,14金桥棚,124824.SH
2230909,36029,PRRJK,124828,PR日经开,124828.SH
2230910,36329,PRDCT,124834,PR德城投,124834.SH
2230911,36270,PRJYJ,124847,PR济源建,124847.SH
2230914,36934,YSLGS,122305,14鲁高速,122305.SH
2230915,33062,PRHGLE,124581,PR黄冈02,124581.SH
2230916,36116,PRCCT,124837,PR赤城投,124837.SH
2230917,36162,PRZJL,124840,PR漳九龙,124840.SH
2230918,36745,PRHCT,124855,PR淮城投,124855.SH
2230920,36165,PRRDT,124833,PR如东泰,124833.SH
2230921,36027,PRYNZ,124835,PR渝南债,124835.SH
2230922,36851,YSYKJ,124863,14沂科技,124863.SH
2230923,36928,YSLGZ,124871,14绿国资,124871.SH
2230924,37492,YSJXLY,130135,14江西01,130135.SH
2230925,37495,YSJXLE,130136,14江西02,130136.SH
2230926,37498,YSJXLS,130137,14江西03,130137.SH
2230928,36986,YSHTLW,122312,13海通05,122312.SH
2230929,36987,YSHTLL,122313,13海通06,122313.SH
2230930,36975,YSSTK,124870,14嵊投控,124870.SH
2230935,37689,YSGZYQ,019417,14国债17,019417.SH
2230936,37176,YSXYZ,124883,14西永债,124883.SH
2230938,36543,YSLZT,124859,14柳暂停,124859.SH
2230939,37768,YSNXLY,130138,14宁夏01,130138.SH
2230940,37771,YSNXLE,130139,14宁夏02,130139.SH
2230941,37774,YSNXLS,130140,14宁夏03,130140.SH
2230943,36207,PRDSQ,124836,PR大石桥,124836.SH
2230947,37084,YSSGX,124878,14苏高新,124878.SH
2230949,37947,YSDZLJ,130141,14地债09,130141.SH
2230950,37950,YSDZYL,130142,14地债10,130142.SH
2230951,35993,PRDYZ,124818,PR德源债,124818.SH
2230952,36272,PRSNR,124832,PR睢宁润,124832.SH
2230955,37999,YSQDLY,130143,14青岛01,130143.SH
2230956,38002,YSQDLE,130144,14青岛02,130144.SH
2230957,38005,YSQDLS,130145,14青岛03,130145.SH
2230958,37298,YSZCZ,124888,14邹城债,124888.SH
2230959,38059,YSZJLY,130146,14浙江01,130146.SH
2230960,38062,YSZJLE,130147,14浙江02,130147.SH
2230961,38065,YSZJLS,130148,14浙江03,130148.SH
2230962,34297,PRXKD,124693,PR新凯迪,124693.SH
2230963,34728,PRQJK,124740,PR青经开,124740.SH
2230964,35801,PRYYY,124806,PR渝园业,124806.SH
2230965,36611,PRHHG,124858,PR黄海港,124858.SH
2230966,36822,PRTJT,124862,PR台基投,124862.SH
2230967,36890,YSYCS,124869,14渝长寿,124869.SH
2230968,37029,YSHGS,124872,14杭拱墅,124872.SH
2230969,37237,YSWDZ,124893,14文登债,124893.SH
2230970,37139,YSJGC,124897,14津广成,124897.SH
2230971,34232,PRBGX,124682,PR宝高新,124682.SH
2230973,35951,PRHBT,124822,PR合滨投,124822.SH
2230974,36885,YSXCJ,124864,14兴城建,124864.SH
2230975,36898,YSLCJ,124885,14临城建,124885.SH
2230977,38154,YSBJLY,130149,14北京01,130149.SH
2230978,38157,YSBJLE,130150,14北京02,130150.SH
2230979,38160,YSBJLS,130151,14北京03,130151.SH
2230981,37474,YSDHZ,122315,14东海债,122315.SH
2230982,38011,PRXBS,124788,PR宣北山,124788.SH
2230983,36747,PRZBZ,124853,PR淄博债,124853.SH
2230984,36847,YSHMLY,124874,14哈密01,124874.SH
2230985,36849,YSHMLE,124875,14哈密02,124875.SH
2230986,38327,YSZGLY,124891,14株高01,124891.SH
2230987,37239,YSJSW,124898,14津水务,124898.SH
2230988,36275,PRZHT,124844,PR遵汇投,124844.SH
2230989,37389,YSDGZ,124889,14定国资,124889.SH
2230990,37290,YSBGZ,124896,14北港债,124896.SH
2230992,37118,YSLGZ,124877,14莱国资,124877.SH
2230993,37227,YSHXLE,124879,14淮新02,124879.SH
2230994,37034,YSJBZ,124882,14江北嘴,124882.SH
2230995,37292,YSYCN,124887,14盐城南,124887.SH
2230997,37869,YSGYLY,122316,14赣粤01,122316.SH
2230998,37870,YSGYLE,122317,14赣粤02,122317.SH
2230999,37002,YSZTK,124814,14郑投控,124814.SH
2231000,36889,YSZGX,124876,14郑高新,124876.SH
2231001,37174,YSCNJ,124886,14长农建,124886.SH
2231002,37387,YSDFZ,124905,14登封债,124905.SH
2231003,38206,YSGMLY,122320,14国贸01,122320.SH
2231005,36124,YSQWLY,124841,14清微01,124841.SH
2231006,36273,PRSXH,124846,PR瘦西湖,124846.SH
2231007,37892,YSAJK,124881,14安经开,124881.SH
2231008,37295,YSSSLE,124884,14双水02,124884.SH
2231009,37420,YSGDT,124890,14甘电停,124890.SH
2231010,38425,LJJJT,124931,09晋交投,124931.SH
2231013,37723,YSQALE,124906,14迁安02,124906.SH
2231014,37889,YSFXZ,124917,14沣西债,124917.SH
2231017,38682,PRNLG,124942,PR南绿港,124942.SH
2231021,37693,YSSTLS,124899,14穗铁03,124899.SH
2231022,37551,YSYCJ,124901,14虞城建,124901.SH
2231023,38097,YSHQLE,124915,14宏桥02,124915.SH
2231024,36613,YSQBH,124941,14钦滨海,124941.SH
2231026,37944,YSJZLE,124912,13锦州02,124912.SH
2231028,38633,YSGZEL,019420,14国债20,019420.SH
2231029,35727,PRLGT,124809,PR龙国投,124809.SH
2231030,37936,YSCJT,124914,14慈建投,124914.SH
2231031,38049,YSBNLY,124929,14巴南01,124929.SH
2231032,38051,YSYCT,124930,14堰城投,124930.SH
2231036,36082,YSGTT,124830,14桂铁投,124830.SH
2231039,38673,YSSHLY,130152,14上海01,130152.SH
2231040,38676,YSSHLE,130153,14上海02,130153.SH
2231041,38679,YSSHLS,130154,14上海03,130154.SH
2231043,36552,YSYGZ,124848,14元国资,124848.SH
2231044,37626,YSHZLE,124894,14海资02,124894.SH
2231045,38186,YSSJLE,124873,14盛经02,124873.SH
2231046,38438,YSBLJ,124946,14保利集,124946.SH
2231047,38975,YSDZYY,130155,14地债11,130155.SH
2231048,38976,YSDZYE,130156,14地债12,130156.SH
2231049,38246,YSJNLE,122319,13京能02,122319.SH
2231051,38274,YSCBF,124938,14郴百福,124938.SH
2231054,38856,YSGZEY,019421,14国债21,019421.SH
2231055,37717,YSWYJ,124907,14芜宜居,124907.SH
2231060,37257,YSBKZ,124900,14滨开债,124900.SH
2231061,37853,YSCWZ,124909,14超威债,124909.SH
2231062,38053,YSBCZ,124911,14北辰债,124911.SH
2231070,38239,YSYXT,124927,14玉溪投,124927.SH
2231072,37625,YSLLT,124904,14连旅泰,124904.SH
2231073,38349,YSJJT,124935,14冀建投,124935.SH
2231074,9193,LJNCJ,124953,09宁城建,124953.SH
2231075,38826,YSFHZ,122323,14凤凰债,122323.SH
2231078,34069,YSJGK,124643,14冀高开,124643.SH
2231079,36333,PRJKF,124845,PR晋开发,124845.SH
2231080,38050,YSHNH,124918,14沪南汇,124918.SH
2231081,38148,YSLYZ,124921,14浏阳债,124921.SH
2231082,36327,YSFNZ,124926,14阜宁债,124926.SH
2231083,38322,YSTMZ,124936,14天门债,124936.SH
2231084,38320,YSHZX,124937,14湖中兴,124937.SH
2231088,39099,YSDZYS,130157,14地债13,130157.SH
2231090,38135,YSACT,124919,14安城投,124919.SH
2231091,38099,YSYGT,124934,14渝港投,124934.SH
2231096,39191,YSHTZ,124903,14鹤投资,124903.SH
2231098,37934,YSSJS,124910,14石景山,124910.SH
2231099,38390,YSSJT,124949,14随建投,124949.SH
2231100,38469,YSRSZ,124959,14仁寿债,124959.SH
2231101,38963,YSSXLY,124989,14三星01,124989.SH
2231105,38506,YSWZC,124951,14威中城,124951.SH
2231106,38619,YSBTZ,124957,14滨投债,124957.SH
2231107,38863,YSGDLY,122324,14国电01,122324.SH
2231108,37032,YSQJK,124880,14曲经开,124880.SH
2231109,38561,YSLGT,124943,14兰国投,124943.SH
2231110,38701,YSSWT,124961,14苏望涛,124961.SH
2231111,38466,YSJZLE,124948,14金资02,124948.SH
2231112,38660,YSXMZ,124978,14新密债,124978.SH
2231114,39454,YSYTLY,122329,14伊泰01,122329.SH
2231115,38665,YSWJK,124962,14武经开,124962.SH
2231116,38511,YSCJT,124967,14昌经投,124967.SH
2231117,39188,YSWLZ,122327,13卧龙债,122327.SH
2231118,39294,YEKLLE,122328,12开滦02,122328.SH
2231119,38272,YSJCT,124933,14揭城投,124933.SH
2231125,38742,YSYJLE,124781,14渝江02,124781.SH
2231126,38048,YSSJT,124913,14绍交投,124913.SH
2231127,38238,YSGJS,124944,14广建设,124944.SH
2231128,38753,YSJGZ,124966,14京国资,124966.SH
2231129,38702,YSYDF,124968,14盐东方,124968.SH
2231130,38622,YSLNZ,124974,14泸纳债,124974.SH
2231133,38718,YSJXT,124965,14济西投,124965.SH
2231134,39084,YSJKZ,124986,14建开债,124986.SH
2231138,38270,YSTDZ,124956,14锑都债,124956.SH
2231139,38374,YSXFH,124958,14浔富和,124958.SH
2231140,39786,YSGZES,019424,14国债24,019424.SH
2231141,39189,YSZJLY,122318,14中炬01,122318.SH
2231142,38811,YSHDT,124970,14杭地铁,124970.SH
2231146,39918,YSSZLY,130158,14深圳01,130158.SH
2231147,39919,YSSZLE,130159,14深圳02,130159.SH
2231148,39920,YSSZLS,130160,14深圳03,130160.SH
2231149,39909,YSGZEW,019425,14国债25,019425.SH
2231150,39481,YSZQZ,122330,13中企债,122330.SH
2231152,34526,PRAXLE,124719,PR鞍新02,124719.SH
2231153,37998,YSJLZ,124928,14九龙债,124928.SH
2231154,38809,YSFWLY,124980,14抚微01,124980.SH
2231161,38508,YSMGX,124952,14马高新,124952.SH
2231162,38945,YSXJZ,124973,14宣建债,124973.SH
2231164,40078,YSGZEL,019426,14国债26,019426.SH
2231166,37422,YSJJG,124908,14靖江港,124908.SH
2231167,39217,YSTNLE,127002,14天能02,127002.SH
2231172,38110,YSMSX,124939,14蒙盛祥,124939.SH
2231173,38266,YSSGT,124945,14石国投,124945.SH
2231175,40615,YSDTLE,127001,14电投02,127001.SH
2231182,38845,YSJFZ,124960,14胶发展,124960.SH
2231183,38958,YSXGLE,124983,14孝高02,124983.SH
2231191,38955,YSGAJ,124963,14广安经,124963.SH
2231192,38927,YSLJK,124975,14溧经开,124975.SH
2231193,38960,YSZYZ,124976,14张掖债,124976.SH
2231194,39596,YSLQZ,127005,14乐清债,127005.SH
2231199,39180,YSZJK,124895,14筑经开,124895.SH
2231200,37757,YSXKY,124916,14新开元,124916.SH
2231201,38470,YSLLLE,124969,14醴陵02,124969.SH
2231202,38758,YSGALY,124982,14高安01,124982.SH
2231203,39539,YSFCT,127000,14繁昌投,127000.SH
2231204,39725,YSPLZ,127006,14蓬莱债,127006.SH
2231205,39741,YSYKG,122331,14营口港,122331.SH
2231207,34587,PRZQZ,124728,PR左旗债,124728.SH
2231208,39517,YSTRLS,124977,14天瑞03,124977.SH
2231212,40730,YSLYLY,127008,14龙岩01,127008.SH
2231213,40729,YSLYLE,127009,14龙岩02,127009.SH
2231218,39541,YSMTZ,124988,14闽投债,124988.SH
2231220,39985,YSSMLY,127014,14三门01,127014.SH
2231222,38796,YSBCT,124979,14陂城投,124979.SH
2231225,39215,YSYWLE,124985,14兖微02,124985.SH
2231227,39577,YSDXZ,127003,14德兴债,127003.SH
2231228,39743,YSLKL,127004,14溧昆仑,127004.SH
2231229,38145,YSBST,124924,14白沙投,124924.SH
2231230,38142,YSCCT,124940,14滁城投,124940.SH
2231231,39085,YSKJK,124987,14昆经开,124987.SH
2231233,40066,YSYJLY,127020,14玉交01,127020.SH
2231234,39795,YSJBZ,122333,14嘉宝债,122333.SH
2231235,39990,YSWQLE,122337,13魏桥02,122337.SH
2231236,38185,YSAKS,124932,14阿克苏,124932.SH
2231238,41099,YLJRF,127022,10句容福,127022.SH
2231239,40154,YSYYZ,127029,14岳阳债,127029.SH
2231240,40942,YSGZEQ,019427,14国债27,019427.SH
2231241,38812,YSAGZ,124972,14安高债,124972.SH
2231242,39814,YSJTH,127021,14京天恒,127021.SH
2231244,39726,YSZWZ,127016,14忠旺债,127016.SH
2231247,39732,YSZGT,124964,14自高投,124964.SH
2231249,40022,YSYGZ,127017,14粤高债,127017.SH
2231253,38900,YSECLE,124984,14鄂城02,124984.SH
2231254,39982,YSXCLY,127018,14新昌01,127018.SH
2231255,39989,YSLCZ,127030,14鹿城债,127030.SH
2231257,40533,YSYJZ,127034,14永嘉债,127034.SH
2231258,40817,YSWZZ,127038,14吴中债,127038.SH
2231263,40515,YSJCZ,127027,14晋城债,127027.SH
2231264,40069,YSAZLY,122335,14爱众01,122335.SH
2231266,40251,YSHJZ,127026,14沪建债,127026.SH
2231267,39739,YSJFLE,122344,13尖峰02,122344.SH
2231270,40202,YSJCT,127023,14集城投,127023.SH
2231272,40064,YEDTLE,122334,12大唐02,122334.SH
2231274,41090,YSLWZ,127012,14柳微债,127012.SH
2231276,40178,YSMDLY,122336,13牡丹01,122336.SH
2231277,40478,YSWKLY,122340,14武控01,122340.SH
2231278,39571,YSYTZ,127011,14鹰投债,127011.SH
2231279,40072,YSPXW,127024,14攀小微,127024.SH
2231280,40364,YSXGX,127028,14新供销,127028.SH
2231281,40543,YSCHLY,127035,14春辉01,127035.SH
2231282,40794,YSCHLE,127040,14春辉02,127040.SH
2231287,41644,YSTJLE,122347,13太极02,122347.SH
2231289,41164,YSGGLE,127052,14甘公02,127052.SH
2231294,41645,YSGRN,122346,14贵人鸟,122346.SH
2231297,40156,YSDTT,127019,14丹徒投,127019.SH
2231298,42080,YSGZEJ,019429,14国债29,019429.SH
2231299,41935,YSBGEB,132001,14宝钢EB,132001.SH
2231300,40836,YSJQZ,122338,13金桥债,122338.SH
2231303,39724,YSHCT,127010,14海城投,127010.SH
2231304,41936,YSXJZ,122339,13香江债,122339.SH
2231308,37890,YSLHZ,124920,14龙海债,124920.SH
2231309,38188,YSJHZ,124925,14金湖资,124925.SH
2231311,39715,YSLSZ,127013,14乐山债,127013.SH
2231312,40724,YSJLT,127033,14即旅投,127033.SH
2231313,41376,YSHRY,127044,14河润业,127044.SH
2231314,40811,YSLJK,127048,14浏经开,127048.SH
2231319,39640,YSSYZ,127015,14世园债,127015.SH
2231320,40315,YSHCJ,127043,14黑重建,127043.SH
2231322,40725,YSLJT,127032,14连交通,127032.SH
2231323,41041,YSXDZ,127039,14西电债,127039.SH
2231324,41144,YSHBLE,122343,13和邦02,122343.SH
2231330,41518,YSWJZ,127059,14芜建债,127059.SH
2231332,38813,YSYGT,124971,14宜国投,124971.SH
2231334,40502,YSHCT,127031,14鹤城投,127031.SH
2231335,40937,YSZSJ,127041,14中山交,127041.SH
2231344,41046,YSLGT,127042,14来工投,127042.SH
2231345,41427,YSHKLE,127046,14海控02,127046.SH
